index	name	abbreviation	color
470	Field CA3, stratum oriens	CA3so	7CD04A
471	Field CA3, pyramidal layer	CA3sp	66A73D
472	Field CA3, stratum radiatum	CA3sr	7CCF4B
473	Dentate gyrus	DG	7DCF49
474	Dentate gyrus, molecular layer	DG-mo	7BD04A
475	Dentate gyrus, polymorph layer	DG-po	7ECE4A
476	Dentate gyrus, granule cell layer	DG-sg	65A83D
477	Dentate gyrus, subgranular zone	DG-sgz	7CD04B
478	Dentate gyrus crest	DGcr	7DCE4A
479	Dentate gyrus crest, molecular layer	DGcr-mo	7CCF4A
480	Dentate gyrus crest, polymorph layer	DGcr-po	7ECE49
481	Dentate gyrus crest, granule cell layer	DGcr-sg	7CD049
482	Dentate gyrus lateral blade	DGlb	7CCE4B
483	Dentate gyrus lateral blade, molecular layer	DGlb-mo	7ED048
484	Dentate gyrus lateral blade, polymorph layer	DGlb-po	7ECD4B
485	Dentate gyrus lateral blade, granule cell layer	DGlb-sg	7DCE49
486	Dentate gyrus medial blade	DGmb	7CCF49
487	Dentate gyrus medial blade, molecular layer	DGmb-mo	7CCE4A
488	Dentate gyrus medial blade, polymorph layer	DGmb-po	7BD04B
