name	abbreviation	index
R_Inferior salivatory nucleus	R_ISN	548
L_Linear nucleus of the medulla	L_LIN	549
R_Linear nucleus of the medulla	R_LIN	550
L_Lateral reticular nucleus	L_LRN	551
R_Lateral reticular nucleus	R_LRN	552
L_Magnocellular reticular nucleus	L_MARN	553
R_Magnocellular reticular nucleus	R_MARN	554
L_Medullary reticular nucleus	L_MDRN	555
R_Medullary reticular nucleus	R_MDRN	556
"L_Medullary reticular nucleus	 dorsal part"	L_MDRNd	557
"R_Medullary reticular nucleus	 dorsal part"	R_MDRNd	558
"L_Medullary reticular nucleus	 ventral part"	L_MDRNv	559
"R_Medullary reticular nucleus	 ventral part"	R_MDRNv	560
L_Parvicellular reticular nucleus	L_PARN	561
R_Parvicellular reticular nucleus	R_PARN	562
L_Parasolitary nucleus	L_PAS	563
R_Parasolitary nucleus	R_PAS	564
"L_Paragigantocellular reticular nucleus	 dorsal part"	L_PGRNd	565
"R_Paragigantocellular reticular nucleus	 dorsal part"	R_PGRNd	566
"L_Paragigantocellular reticular nucleus	 lateral part"	L_PGRNl	567
"R_Paragigantocellular reticular nucleus	 lateral part"	R_PGRNl	568
L_Nucleus of Roller	L_NR	569
R_Nucleus of Roller	R_NR	570
L_Nucleus prepositus	L_PRP	571
R_Nucleus prepositus	R_PRP	572
L_Parapyramidal nucleus	L_PPY	573
R_Parapyramidal nucleus	R_PPY	574
L_Lateral vestibular nucleus	L_LAV	575
R_Lateral vestibular nucleus	R_LAV	576
L_Medial vestibular nucleus	L_MV	577
R_Medial vestibular nucleus	R_MV	578
L_Spinal vestibular nucleus	L_SPIV	579
R_Spinal vestibular nucleus	R_SPIV	580
L_Superior vestibular nucleus	L_SUV	581
R_Superior vestibular nucleus	R_SUV	582
L_Nucleus x	L_x	583
R_Nucleus x	R_x	584
L_Hypoglossal nucleus	L_XII	585
R_Hypoglossal nucleus	R_XII	586
L_Nucleus y	L_y	587
R_Nucleus y	R_y	588
L_Nucleus raphe magnus	L_RM	589
R_Nucleus raphe magnus	R_RM	590
L_Nucleus raphe pallidus	L_RPA	591
R_Nucleus raphe pallidus	R_RPA	592
L_Nucleus raphe obscurus	L_RO	593
R_Nucleus raphe obscurus	R_RO	594
