index	name	color
2362	Ectorhinal area/Layer 1 Right	00ff24
2371	Ectorhinal area/Layer 2/3 Left	00ff26
2372	Ectorhinal area/Layer 2/3 Right	00ff26
2381	Ectorhinal area/Layer 5 Left	00ff28
2382	Ectorhinal area/Layer 5 Right	00ff28
2391	Ectorhinal area/Layer 6a Left	00ff2b
2392	Ectorhinal area/Layer 6a Right	00ff2b
2401	Ectorhinal area/Layer 6b Left	00ff2d
2402	Ectorhinal area/Layer 6b Right	00ff2d
2411	Olfactory areas Left	00ff2f
2412	Olfactory areas Right	00ff2f
2421	Main olfactory bulb Left	00ff32
2422	Main olfactory bulb Right	00ff32
2431	Accessory olfactory bulb, glomerular layer Left	00ff34
2432	Accessory olfactory bulb, glomerular layer Right	00ff34
2441	Accessory olfactory bulb, granular layer Left	00ff36
2442	Accessory olfactory bulb, granular layer Right	00ff36
2451	Accessory olfactory bulb, mitral layer Left	00ff38
2452	Accessory olfactory bulb, mitral layer Right	00ff38
2461	Anterior olfactory nucleus Left	00ff3b
2462	Anterior olfactory nucleus Right	00ff3b
2471	Taenia tecta, dorsal part Left	00ff3d
2472	Taenia tecta, dorsal part Right	00ff3d
2481	Taenia tecta, ventral part Left	00ff3f
2482	Taenia tecta, ventral part Right	00ff3f
2491	Dorsal peduncular area Left	00ff42
2492	Dorsal peduncular area Right	00ff42
2501	Piriform area Left	00ff44
2502	Piriform area Right	00ff44
2511	Nucleus of the lateral olfactory tract, molecular layer Left	00ff46
2512	Nucleus of the lateral olfactory tract, molecular layer Right	00ff46
2521	Nucleus of the lateral olfactory tract, pyramidal layer Left	00ff49
2522	Nucleus of the lateral olfactory tract, pyramidal layer Right	00ff49
2531	Nucleus of the lateral olfactory tract, layer 3 Left	00ff4b
2532	Nucleus of the lateral olfactory tract, layer 3 Right	00ff4b
2541	Cortical amygdalar area, anterior part Left	00ff4d
2542	Cortical amygdalar area, anterior part Right	00ff4d
2551	Cortical amygdalar area, posterior part, lateral zone Left	00ff50
2552	Cortical amygdalar area, posterior part, lateral zone Right	00ff50
2561	Cortical amygdalar area, posterior part, medial zone Left	00ff52
2562	Cortical amygdalar area, posterior part, medial zone Right	00ff52
